saldo: 10000
receita: 10/07/2015 50.50
receita: 10/07/2015 22.25
despesa: 10/07/2015 150.00
receita: 10/07/2015 37.75
despesa: 10/07/2015 30.00
receita: 11/07/2015 15.00
receita: 10/07/2015 23.20
despesa: 10/07/2015 20.00
receita: 11/07/2015 13.60
receita: 10/07/2015 12.20
receita: 10/07/2015 15.00
receita: 11/07/2015 32.50
receita: 11/07/2015 30.00
receita: 11/07/2015 10.00
despesa: 11/07/2015 200.00
receita: 11/07/2015 27.50
receita: 11/07/2015 16.75
receita: 11/07/2015 8.75
receita: 11/07/2015 12.25
receita: 12/07/2015 17.50
receita: 12/07/2015 20.00
receita: 12/07/2015 19.50
despesa: 11/07/2015 75.20
receita: 12/07/2015 8.25
error error error
receita: 12/07/2015 17.50
receita: 12/07/2015 29.75
receita: 12/07/2015 30.00
receita: 12/07/2015 22.25
receita: 12/07/2015 62.50
receita: 12/07/2015 41.75
receita: 12/07/2015 32.00
receita: 12/07/2015 24.25
error error error
receita: 12/07/2015 19.20
receita: 12/07/2015 51.25
